art,biography,business,christian,classics,comics,contemporary,cookbooks,crime,ebooks,fantasy,fiction,history,horror,manga,memoir,music,mystery,nonfiction,paranormal,philosophy,poetry,psychology,religion,romance,science,spirituality,sports,suspense,thriller,travel
2.5,2.5,2.0,2.5,2.5,2.5,2.5,2.5,2.5,3.0,2.5,1.4444444444444444,4.0,2.5,2.5,5.0,2.5,2.5,2.5,5.0,5.0,2.5,2.5,2.5,2.5,2.5,5.0,2.5,2.5,2.5,2.5
2.5,4.0,2.5,2.5,2.25,2.5,1.5,2.5,5.0,2.5,2.5,1.0,5.0,2.5,2.5,2.5,2.5,2.5,4.0,5.0,4.0,2.5,1.25,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5
